source,id,title,is_active,study_level,category,domain,country,funding_type,deadline,budget_required,short_description,source_url,eligibility_summary
payload_cms,3,Stage développeur junior — Orange Sénégal,True,bac3,stage,Informatique et Numérique,Sénégal,salariee,,,Stage de 6 mois rémunéré dans la direction innovation d Orange Sénégal. Projets digitaux Africa.,,"Bac+2 minimum en informatique, autonomie, maîtrise JavaScript ou Python"
payload_cms,2,Programme Erasmus+ Afrique,True,bac5,formation,Gestion et Management,Allemagne,partielle,,,Programme d échanges académiques Europe-Afrique. Séjour de 6 mois dans une université partenaire.,,"Master en cours, niveau B2 en français ou anglais, lettre de motivation"
payload_cms,1,Bourse AFD — Sciences et Technologies,True,bac3,bourse,Sciences et Technologies,France,complete,,,"Bourse complète pour étudiants africains en Licence 3 ou Master. Couvre scolarité, logement et transport.",,"Étudiants africains francophones, Bac+3 minimum, moins de 28 ans, dossier académique solide"
seed,seed-bac-001,Classes Préparatoires CPGE — Institut Prépa Afrique,true,bac,formation,sciences_tech,afrique,partial,2026-08-31,200000,"Programme de classes préparatoires aux grandes écoles d'ingénieurs, basé à Abidjan et Dakar, avec des partenariats avec des écoles françaises.",https://www.institutprepaafrique.com,"Baccalauréat scientifique (série C, D ou équivalent). Dossier scolaire solide requis."
seed,seed-bac-002,Bourse d'Excellence Al Akhawayn — Maroc,true,bac,bourse,sciences_tech,afrique,complete,2026-06-15,0,"Bourse couvrant les frais de scolarité et le logement à l'Université Al Akhawayn d'Ifrane, au Maroc, pour les meilleurs bacheliers africains.",https://www.aui.ma/en/admissions/scholarships.html,Baccalauréat avec mention Très Bien. Ouvert aux ressortissants africains francophones.
seed,seed-bac-003,Concours ENSA — École Nationale Supérieure d'Abidjan,true,bac,formation,sciences_tech,afrique,complete,2026-07-01,0,"Concours d'entrée à l'ENSA d'Abidjan, l'une des meilleures écoles d'ingénieurs d'Afrique de l'Ouest, avec bourse de l'État ivoirien.",https://www.inphb.ci,"Baccalauréat scientifique (C, D, E). Résidence en Côte d'Ivoire ou dans un pays de la CEDEAO."
seed,seed-bac-004,Programme Passerelle L1 — Université Paris-Saclay,true,bac,formation,sciences_sociales,france,partial,2026-05-30,300000,"Programme d'accueil en première année de licence à Paris-Saclay pour les bacheliers africains sélectionnés, avec accompagnement pédagogique renforcé.",https://www.universite-paris-saclay.fr/formation/licences,Baccalauréat toutes séries. Dossier Campus France obligatoire. Niveau B2 en français requis.
seed,seed-bac2-001,Licence Professionnelle Commerce International — Université de Bordeaux,true,bac2,formation,commerce,france,partial,2026-06-01,400000,"Licence pro en alternance préparant aux métiers du commerce international, accessible après BTS/DUT Commerce ou équivalent.",https://www.u-bordeaux.fr/formation/licence-professionnelle,"BTS, DUT ou équivalent Bac+2 en commerce ou gestion. Dossier Campus France requis."
seed,seed-bac2-002,Bourse AFD Formations Courtes — France,true,bac2,formation,commerce,france,complete,2026-05-15,0,Programme de l'Agence Française de Développement finançant des formations courtes (6 à 12 mois) pour des professionnels africains en reconversion ou montée en compétences.,https://www.afd.fr/fr/actualites/bourses-formations-courtes,Bac+2 minimum. Expérience professionnelle de 2 ans dans le secteur ciblé. Ressortissant d'un pays éligible AFD.
seed,seed-bac2-003,Formation Ingénierie Réseau CISCO Academy — Sénégal,true,bac2,formation,sciences_tech,afrique,complete,,0,"Formation certifiante en administration réseau et cybersécurité dispensée par la CISCO Academy, avec accès aux certifications CCNA et CCNP.",https://www.netacad.com,"Bac+2 en informatique, télécoms ou électronique. Ouvert aux étudiants et professionnels d'Afrique francophone."
seed,seed-bac2-004,Passerelle Bachelor Management — KEDGE Business School Dakar,true,bac2,formation,commerce,afrique,partial,2026-07-15,250000,"Programme de passerelle vers le Bachelor Management de KEDGE BS, campus de Dakar, pour titulaires d'un BTS ou DUT avec 2 ans d'expérience.",https://kedge.edu/programmes/bachelor/dakar,"BTS, DUT ou équivalent. Entretien de motivation requis. Possibilité de bourses partielles selon dossier."
seed,seed-lic-007,Programme Erasmus+ Droit International — Université de Louvain,true,licence,echange,droit_sciences_po,europe,partial,2026-11-30,150000,"Semestre d'échange en droit international et droits humains à l'UCLouvain (Belgique), avec bourse Erasmus+ couvrant une partie des frais de séjour.",https://uclouvain.be/fr/etudier/international/erasmus.html,Licence 2 ou 3 en droit. Accord Erasmus entre ton université et UCLouvain requis. Niveau B2 en français.
seed,seed-lic-001,Bourse Eiffel Excellence — France,true,licence,bourse,sciences_tech,france,complete,2027-01-10,0,Bourse d'excellence du gouvernement français pour les meilleurs étudiants étrangers en master et ingénierie. Allocation mensuelle + logement + billets d'avion.,https://www.campusfrance.org/fr/bourse-eiffel,Licence ou équivalent validée. Âge maximum 25 ans pour le master. Candidature via établissement d'accueil français.
seed,seed-lic-002,Programme d'Échange Erasmus+ — Belgique,true,licence,echange,droit_sciences_po,europe,partial,2026-10-01,200000,"Programme d'échange Erasmus+ avec les universités belges (ULB, UCLouvain) pour les étudiants en droit, sciences politiques et sciences sociales.",https://erasmus-plus.ec.europa.eu/fr,Licence 2 minimum. Accord Erasmus entre ton université et une université belge partenaire requis.
seed,seed-lic-008,Stage Marketing Digital — L'Oréal Paris,true,licence,stage,commerce,france,partial,2026-08-15,250000,"Stage de 4 à 6 mois au sein des équipes marketing de L'Oréal Paris, avec indemnité mensuelle et accès aux projets digitaux internationaux.",https://careers.loreal.com/fr_FR/jobs/internships,"Licence en commerce, marketing ou communication. Niveau B2 en anglais. Mobilité Paris requise."
seed,seed-lic-003,Stage International Droit — Cabinet CMS Francis Lefebvre Paris,true,licence,stage,droit_sciences_po,france,partial,2026-09-01,300000,"Stage de 3 à 6 mois dans l'un des plus grands cabinets d'avocats français, avec indemnité de stage et encadrement par des avocats associés.",https://www.cms-fl.com/fr/carrieres,"Licence 3 en droit (droit des affaires, droit international). Niveau C1 en français, B2 en anglais."
seed,seed-lic-004,Programme d'Excellence Maroc — UM6P,true,licence,formation,sciences_tech,afrique,partial,2026-07-15,150000,"Programme de master d'excellence à l'Université Mohammed VI Polytechnique (Ben Guerir), l'une des meilleures universités d'Afrique en sciences et ingénierie.",https://www.um6p.ma/fr/admissions,"Licence en sciences, ingénierie ou mathématiques. Dossier académique solide (mention Bien minimum)."
seed,seed-lic-005,Bourse DAAD Études en Allemagne — Licence vers Master,true,licence,bourse,sciences_tech,europe,complete,2026-11-15,0,Bourse du Service Allemand d'Échanges Universitaires (DAAD) pour poursuivre un master en Allemagne. Allocation mensuelle + frais de voyage + assurance.,https://www.daad.de/fr/etudier-et-faire-de-la-recherche-en-allemagne/bourses/,Licence validée avec mention. Moins de 32 ans. Niveau B2 en allemand ou C1 en anglais (programme anglophone).
seed,seed-lic-006,Programme VIE Afrique — Business France,true,licence,emploi,commerce,afrique,complete,,0,Volontariat International en Entreprise (VIE) en Afrique francophone pour les jeunes diplômés souhaitant une première expérience professionnelle internationale.,https://www.businessfrance.fr/vie,Licence minimum. Nationalité française ou de l'UE. 18–28 ans. Aucune expérience préalable requise.
seed,seed-mst-001,Bourse Fulbright — États-Unis,true,master,bourse,sciences_sociales,usa,complete,2026-06-01,0,"Programme d'échange académique du gouvernement américain finançant un master complet aux États-Unis, incluant les frais de scolarité, le logement et un billet aller-retour.",https://foreign.fulbrightonline.org,Master en cours ou Licence validée. Solide dossier académique. Maîtrise de l'anglais (TOEFL 80+ ou IELTS 6.5+).
